Date,Actual_EV_Sales,Forecasted_EV_Sales
2023-01-31,102839.0,104996.5302313642
2023-02-28,107178.0,104996.5302313642
2023-03-31,140823.0,104996.5302313642
2023-04-30,111233.0,104996.5302313642
2023-05-31,158131.0,104996.5302313642
2023-06-30,102043.0,104996.5302313642
2023-07-31,115756.0,104996.5302313642
2023-08-31,126508.0,104996.5302313642
2023-09-30,127793.0,104996.5302313642
2023-10-31,139232.0,104996.5302313642
2023-11-30,152610.0,104996.5302313642
2023-12-31,141033.0,104996.5302313642
2024-01-31,143182.0,104996.5302313642
